"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"UNDERPRODUCTIVE",0.5,0.167,0.222,0.611,0.167,2.111,0.786,0.707,0.647,1.145,0.707,1.745,2.111,0.515,"Visual",2.139,18,1
"UNDERRATE",2.2,0.7,0.8,0.9,0.65,2.25,1.963,1.218,1.322,1.373,1.387,1.943,2.25,0.213,"Visual",2.88,20,0.87
"UNDERRATED",0.706,0.235,0.118,0.941,0.176,1.353,1.047,0.562,0.332,1.6,0.529,1.539,1.353,0.35,"Visual",1.544,17,0.944
"UNDERRATING",2.312,0.125,0.25,0.438,0,2.312,1.702,0.5,1,1.031,0,1.537,2.312,0.425,"Visual",2.918,16,0.941
"UNDERREPRESENTATION",2.05,0.3,0.3,1.3,0.2,2.45,1.959,1.129,0.923,1.78,0.894,1.905,2.45,0.341,"Visual",2.946,20,0.909
"UNDERREPRESENTED",1.889,0.278,0.167,0.667,0,2.889,1.641,1.179,0.514,1.029,0,1.779,2.889,0.491,"Visual",3.147,18,0.947
"UNDERSCORE",1.059,0.235,0.412,1,0.118,3.706,1.298,0.97,1.176,1.732,0.485,1.687,3.706,0.55,"Visual",3.76,17,0.944
"UNDERSEA",1.211,0.632,1.474,0.789,1.053,3.421,1.686,1.342,1.982,1.398,1.81,2.036,3.421,0.325,"Visual",3.607,19,0.905
"UNDERSELL",2,0.267,0.4,0.933,0.067,3.267,1.852,1.033,1.056,1.534,0.258,1.486,3.267,0.462,"Visual",3.524,15,0.833
"UNDERSELLING",3.222,0,0.167,0.444,0,2.278,2.157,0,0.514,0.856,0,1.965,3.222,0.527,"Auditory",3.566,18,1
"UNDERSEXED",1.071,0,0,1.929,0,1.214,1.639,0,0,2.018,0,2.119,1.929,0.458,"Interoceptive",2.168,14,0.875
"UNDERSHIRT",0.189,0.054,3.811,0.514,0.811,4.189,0.701,0.329,1.431,1.096,1.266,1.266,4.189,0.432,"Visual",5.06,37,1
"UNDERSHORTS",0.294,0,3.706,0.118,0.353,4.706,1.213,0,2.024,0.485,0.786,0.588,4.706,0.513,"Visual",5.374,17,1
"UNDERSHOT",1,0.214,1.214,0.857,0.214,3,1.617,0.579,1.626,1.46,0.802,2.184,3,0.429,"Visual",3.122,14,0.778
"UNDERSIDE",0.412,0.176,1.706,0,0.176,3.882,1.228,0.393,1.312,0,0.529,1.453,3.882,0.611,"Visual",3.991,17,1
"UNDERSIGN",0.6,0.3,0.5,0.1,0.1,3,1.075,0.949,1.08,0.316,0.316,1.886,3,0.63,"Visual",3.014,10,0.556
"UNDERSIGNED",0.5,0.071,0.714,0.429,0,1.714,1.345,0.267,1.637,1.158,0,2.164,1.714,0.5,"Visual",1.776,14,0.875
"UNDERSIZE",0.105,0,1.842,0.632,0,3.684,0.315,0,2.062,1.342,0,1.974,3.684,0.588,"Visual",3.837,19,1
"UNDERSIZED",0.158,0.053,2.421,0.211,0,4.263,0.501,0.229,1.895,0.631,0,1.284,4.263,0.6,"Visual",4.509,19,1
"UNDERSKIRT",0.3,0.05,2,0.3,0.15,3.65,0.979,0.224,1.892,0.801,0.489,1.565,3.65,0.558,"Visual",3.841,20,0.952
"UNDERSPECIFIED",0.857,0.071,0.286,0.786,0.071,1.214,1.512,0.267,0.825,1.672,0.267,1.578,1.214,0.348,"Visual",1.431,14,0.737
"UNDERSTAFFED",0.765,0.059,0.176,0.353,0.059,3,1.522,0.243,0.529,0.862,0.243,2.092,3,0.667,"Visual",3.018,17,0.895
"UNDERSTAND",2.6,0.4,0.9,2.6,0.4,2.45,2.062,1.188,1.586,2.162,1.188,1.986,2.6,0.235,"Auditory",3.702,20,1
"UNDERSTANDABILITY",2.412,0.118,0.824,2.529,0.118,2.059,2.293,0.485,1.59,1.94,0.485,2.277,2.529,0.299,"Interoceptive",3.406,17,1
"UNDERSTANDABLE",2.895,0.158,0.579,2.526,0.421,2.211,1.595,0.501,0.902,2.091,1.216,1.512,2.895,0.311,"Auditory",3.719,19,1
"UNDERSTANDABLY",2.211,0.263,0.474,3.158,0.263,1.684,1.932,0.806,1.02,1.922,0.733,2.001,3.158,0.359,"Interoceptive",3.614,19,1
"UNDERSTANDING",3.3,0.05,0.8,1.55,0.3,2.9,1.809,0.224,1.642,2.038,1.129,1.774,3.3,0.365,"Auditory",4.012,20,1
"UNDERSTANDINGLY",2.421,0.474,0.526,0.895,0.263,2.158,2.036,1.307,1.264,1.243,0.733,1.951,2.421,0.32,"Auditory",2.933,19,0.95
