Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
SWORD,1.056,0.0,3.833,0.111,0.0,4.667,1.589,0.0,1.724,0.471,0.0,0.686,4.667,0.483,Visual,5.419,18,1.0
CRUSTY,0.833,2.056,3.833,0.389,0.278,3.278,1.339,1.924,1.505,0.979,0.752,1.364,3.833,0.333,Haptic,4.655,18,1.0
CRUMPLED,1.056,0.111,3.833,0.389,0.333,4.222,1.514,0.323,1.425,0.979,1.188,1.263,4.222,0.413,Visual,5.103,18,1.0
SCALPEL,0.278,0.056,3.833,0.611,0.0,4.222,0.575,0.236,1.543,1.145,0.0,1.478,4.222,0.469,Visual,5.09,18,1.0
WAX PAPER,1.222,0.444,3.833,0.333,0.167,3.722,1.592,1.338,1.425,0.97,0.514,1.638,3.833,0.377,Haptic,4.789,18,1.0
DISHCLOTH,0.333,0.0,3.833,0.278,0.833,4.111,0.767,0.0,1.425,0.575,1.339,1.451,4.111,0.438,Visual,5.019,18,1.0
COMPUTER,2.722,0.222,3.833,0.5,0.167,4.667,1.708,0.732,1.383,0.857,0.514,0.686,4.667,0.372,Visual,5.628,18,0.947
SQUIRT GUN,1.0,0.278,3.833,0.333,0.278,4.222,1.237,0.669,1.618,0.686,0.669,1.114,4.222,0.397,Visual,5.1,18,1.0
FRAGILE,0.833,0.056,3.833,0.333,0.222,3.667,1.383,0.236,1.339,1.029,0.943,1.572,3.833,0.422,Haptic,4.736,18,1.0
SPIKINESS,0.278,0.222,3.833,0.389,0.222,2.889,0.958,0.732,1.724,1.037,0.943,1.811,3.833,0.461,Haptic,4.319,18,0.818
JUMP ROPE,1.944,0.056,3.833,1.889,0.5,4.278,1.83,0.236,1.823,1.967,1.339,1.074,4.278,0.338,Visual,5.299,18,1.0
CHEESEBURGER,0.111,4.722,3.833,1.167,4.111,4.056,0.323,1.179,1.425,2.007,1.568,1.697,4.722,0.256,Gustatory,6.69,18,1.0
LEATHERY,0.611,0.333,3.833,0.111,1.556,3.444,1.614,0.84,1.581,0.471,1.688,1.917,3.833,0.376,Haptic,4.66,18,0.947
HANDLEBAR,0.5,0.278,3.833,0.444,0.278,3.778,1.295,1.179,1.757,1.338,1.179,1.396,3.833,0.39,Haptic,4.799,18,1.0
KISS,1.611,2.167,3.833,2.389,0.333,3.722,1.29,2.093,1.689,2.09,0.84,1.487,3.833,0.249,Haptic,5.142,18,1.0
ICINESS,0.611,0.778,3.833,1.722,0.333,3.556,1.243,1.437,1.618,1.873,0.97,1.688,3.833,0.323,Haptic,4.749,18,0.947
ROLLING PIN,0.944,0.167,3.833,0.389,0.278,3.222,1.514,0.707,1.618,1.037,0.958,1.665,3.833,0.415,Haptic,4.493,18,1.0
LIGHT TOUCH,0.444,0.056,3.833,1.556,0.056,1.556,1.199,0.236,1.79,1.58,0.236,1.79,3.833,0.504,Haptic,3.999,18,1.0
SUITCASE,0.722,0.278,3.833,0.389,0.389,4.444,1.487,1.179,1.581,1.243,1.243,1.247,4.444,0.414,Visual,5.249,18,1.0
SKI POLE,0.265,0.088,3.824,0.088,0.029,3.941,0.618,0.514,1.783,0.379,0.171,1.774,3.941,0.475,Visual,4.893,34,1.0
BUTTOCKS,0.647,0.471,3.824,0.882,1.176,4.471,1.272,1.231,1.551,1.536,1.425,1.007,4.471,0.349,Visual,5.289,17,1.0
HANDS ON,1.353,0.294,3.824,1.353,0.706,3.471,1.579,0.849,1.629,1.618,1.404,1.7,3.824,0.321,Haptic,4.688,17,0.944
ROLLINGPIN,0.588,0.118,3.824,0.0,0.118,4.706,0.939,0.485,1.629,0.0,0.485,0.772,4.706,0.503,Visual,5.432,17,1.0
DOG,4.118,0.588,3.824,0.647,2.824,4.588,1.269,1.176,1.51,1.32,1.912,0.87,4.588,0.241,Visual,6.26,17,1.0
PINPRICK,0.059,0.0,3.824,1.706,0.0,2.353,0.243,0.0,1.776,1.896,0.0,1.801,3.824,0.481,Haptic,4.196,17,0.944
KNITTING NEEDLE,0.353,0.0,3.824,0.0,0.0,4.118,1.222,0.0,1.879,0.0,0.0,1.576,4.118,0.496,Visual,5.01,17,1.0
SURFACE,0.235,0.294,3.824,0.059,0.412,3.647,0.562,0.772,1.667,0.243,1.228,1.498,3.824,0.444,Haptic,4.71,17,0.944
DRENCH,0.765,0.176,3.824,0.824,0.235,4.529,1.437,0.393,1.741,1.334,0.437,0.717,4.529,0.42,Visual,5.311,17,1.0
DENTAL FLOSS,0.625,1.812,3.812,1.125,0.375,3.688,1.31,1.797,1.471,1.5,0.619,1.957,3.812,0.301,Haptic,4.838,16,1.0
DOUBLECLICK,3.438,0.375,3.812,0.5,0.438,2.625,1.504,1.025,1.515,1.155,0.964,2.062,3.812,0.307,Haptic,4.854,16,0.941
DRENCHING,1.5,0.312,3.812,0.562,0.312,3.5,1.789,1.25,1.721,1.548,1.25,1.789,3.812,0.35,Haptic,4.671,16,0.941
NUDGE,0.594,0.0,3.812,1.406,0.031,2.062,1.292,0.0,1.693,1.624,0.177,1.795,3.812,0.482,Haptic,4.065,32,0.97
PELLET,0.438,0.125,3.812,0.062,0.562,4.062,1.094,0.342,1.721,0.25,1.094,1.611,4.062,0.441,Visual,4.969,16,0.889
NAPKIN,0.438,0.188,3.812,0.062,0.375,4.375,0.512,0.544,1.047,0.25,0.619,1.025,4.375,0.466,Visual,5.184,16,1.0
SQUASHY,1.438,0.5,3.812,0.562,0.188,1.812,1.459,1.033,1.515,1.094,0.403,1.471,3.812,0.436,Haptic,4.013,16,0.762
UNDERSHIRT,0.189,0.054,3.811,0.514,0.811,4.189,0.701,0.329,1.431,1.096,1.266,1.266,4.189,0.432,Visual,5.06,37,1.0
LIFTING,0.952,0.238,3.81,3.19,0.286,3.714,1.532,0.7,1.504,1.806,0.717,1.454,3.81,0.293,Haptic,5.191,21,1.0
WATER FAUCET,2.905,0.619,3.81,0.143,0.238,4.762,1.841,1.203,1.632,0.359,0.768,0.436,4.762,0.37,Visual,5.729,21,1.0
PUTTY,0.55,0.45,3.8,0.7,1.65,3.5,1.234,1.191,1.508,1.38,1.785,1.433,3.8,0.315,Haptic,4.685,20,1.0
PINCHING,0.65,0.1,3.8,2.6,0.1,2.75,1.226,0.308,1.881,2.01,0.447,1.86,3.8,0.37,Haptic,4.539,20,1.0
WATERY,1.667,3.2,3.8,1.8,1.133,3.467,2.059,1.699,1.373,2.111,1.598,1.598,3.8,0.177,Haptic,5.208,15,1.0
BATHMAT,0.5,0.05,3.8,0.3,0.45,4.1,1.1,0.224,1.473,0.657,0.945,1.373,4.1,0.44,Visual,4.987,20,1.0
